"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"송파구 가락동 98-7","37.49416733","127.1196442","송파구","거북이빌딩사거리 주변","불법주정차구역"
"송파구 풍납동 400-1","37.52802277","127.1175919","송파구","율곡빌라 주변","불법주정차구역"
"송파구 잠실동 50-3","37.5104599","127.0716095","송파구","송파상공회의소 주변","불법주정차구역"
"송파구 방이동 213","37.509559","127.123483","송파구","GS25(최선어학원) 사거리 주변","불법주정차구역"
"송파구 장지동 881","37.4816246","127.1418457","송파구","아이온스퀘어 주변","불법주정차구역"
"송파구 장지동 900-2","37.47838211","127.1420364","송파구","새솔어린이집사거리 주변","불법주정차구역"
"송파구 문정동 492-3","37.48518372","127.1154251","송파구","힐스테이크에코송파사거리 주변","불법주정차구역"
"송파구 장지동 897","37.50272751","127.0986786","송파구","지하차도삼거리 주변","불법주정차구역"
"송파구 장지동 393","37.47558212","127.1421814","송파구","위례광장로2길 주변","불법주정차구역"
"송파구 장지동 886","37.4783783","127.1441422","송파구","위례별초등학교사거리 주변","불법주정차구역"
"송파구 거여동 289","37.490806","127.14286","송파구","송파구체육문화회관 주변","불법주정차구역"
"송파구 가락동 81-6","37.495359","127.121474","송파구","가락본동우체국사거리 주변","불법주정차구역"
"송파구 방이동 205-8","37.509993","127.126221","송파구","하나로마트방이역점 주변","불법주정차구역"
"송파구 방이동 226-7","37.506337","127.120925","송파구","송파미성A사거리 주변","불법주정차구역"
"송파구 오금동 4-13","37.509003","127.13338","송파구","올림픽선수기자촌A교차로 주변","불법주정차구역"
"송파구 마천동 162-8","37.499295","127.152669","송파구","마천시장 주변","불법주정차구역"
"송파구 잠실동 18-1","37.516311","127.084389","송파구","잠실엘스~리센츠A 삼거리 주변","불법주정차구역"
"송파구 잠실동 35","37.509161","127.086649","송파구","새마을시장 주변","불법주정차구역"
"송파구 풍납동 387","37.524694","127.107128","송파구","아산병원 별관앞 주변","불법주정차구역"
"송파구 석촌동 274","37.499698","127.105438","송파구","헬리오시티근린공원 주변","불법주정차구역"
"송파구 석촌동 297-28","37.500966","127.109753","송파구","송파동부센트레빌A 주변","불법주정차구역"
"송파구 가락동 479","37.500095","127.111197","송파구","헬리오시티상가 주변","불법주정차구역"
"송파구 풍납동 310-12","37.53026836425603","127.11034933001886","송파구","아산병원패밀리타운 주변-1","불법주정차구역"
"송파구 장지동 846","37.48182749968059","127.13079883411602","송파구","문현초사거리 주변","불법주정차구역"
"송파구 풍납동 310-13","37.53026836425603","127.11034933001886","송파구","아산병원패밀리타운 주변-2","불법주정차구역"
"송파구 풍납동 257-93","37.53018617858899","127.11387619643615","송파구","풍납토성초정문입구 주변","불법주정차구역"
"서울 송파구 신천동 29-1","37.5138710747422","127.106364392884","송파구","방이맛골입구 주변-2","불법주정차구역"
"송파구 문정동 217-2","37.486125896743005","127.11961535970103","송파구","엠스테이트C동사거리 주변","불법주정차구역"
"송파구 풍납동 389-1","37.52482855128932","127.11508699609232","송파구","잠실올림픽아이파크107동주변","불법주정차구역"
"송파구 풍납동 469-3","37.52870881202468","127.10880559685313","송파구","아산병원신관 주변","불법주정차구역"
"서울 송파구 신천동 29-1","37.51435071213618","127.1070258693322","송파구","방이맛골입구 주변-1","불법주정차구역"
"서울 송파구 가락동 43-1","37.50036279709","127.119877817597","송파구","신가초교 정문 주변","불법주정차구역"
"서울 송파구 마천동 183-4","37.4955054522697","127.152629450117","송파구","마천초교 정문 주변","불법주정차구역"
"서울 송파구 방이동 168-6","37.5128783257275","127.119666411293","송파구","방이초교 후문 주변","불법주정차구역"
"송파구 풍납동 388-6","37.52696799243336","127.11320949219605","송파구","풍성초교 주변","불법주정차구역"
"송파구 오금동 133-24","37.5022085043768","127.14040769088808","송파구","덕산빌딩 주변","불법주정차구역"
"서울 송파구 가락동 162","37.499062140415","127.130718176465","송파구","가주초교사거리 주변","불법주정차구역"
"서울 송파구 풍납동 229-14","37.53416320124834","127.11709545132528","송파구","풍납초교 정문 주변","불법주정차구역"
"송파구 풍납동 434","37.52485725099196","127.11098901187393","송파구","풍성중학교 주변-2","불법주정차구역"
"송파구 풍납동 387","37.52533927542045","127.10609977649584","송파구","아산병원서관 주변","불법주정차구역"
